50,1.01361867704,-90.7
100,2.00285171103,-95.2
200,4.00467726848,-98.2
300,6.06424581006,-102.9
400,8.32246039143,-107.3
500,10.7015902713,-112.5
600,13.4492481203,-118.2
700,16.4440263405,-124.2
800,19.5943396226,-132.0
900,22.8827977316,-141.1
1000,25.9582542694,-152.0
1100,28.5512699906,-163.9
1200,29.5377358491,-176.1
1300,29.8679245283,173.2
1400,28.5930122757,163.1
1500,27.0660377358,155.2
1600,26.1582542694,149.9
2000,19.0467111535,129.6
2500,14.2040038132,118.4
3000,11.3250714967,112.0
4000,8.04575786463,105.4
5000,6.30123927550,102.0
6000,5.17349857007,100.0
7000,4.38512869399,97.0
8000,3.84761904762,96.3
9000,3.41563393708,96.0
10000,3.03969754253,95.0
20000,1.5405921681,91.0